Zip,City,MaleLivingAlone65,MaleNotLivingAlone65,MaleHouseholder65Total,FemaleLivingAlone65,FemaleNotLivingAlone65,FemaleHouseholder65Total,LivingAlone65Total,NotLivingAlone65Total,Householder65Total,MaleLivingAloneRate65,FemaleLivingAloneRate65,LivingAloneRate65,GeneratorUse,SourceTable
74435,Gore,72,0,72,94,6,100,166,6,172,1.0,0.94,0.9651,Calibrate LivesAlone among eligible non-married synthetic elders; do not alter B01001 population counts,ACS B11010 Nonfamily Households by Sex of Householder by Living Alone by Age of Householder
74931,Bunch,15,3,18,35,0,35,50,3,53,0.8333,1.0,0.9434,Calibrate LivesAlone among eligible non-married synthetic elders; do not alter B01001 population counts,ACS B11010 Nonfamily Households by Sex of Householder by Living Alone by Age of Householder
74936,Gans,53,0,53,26,13,39,79,13,92,1.0,0.6667,0.8587,Calibrate LivesAlone among eligible non-married synthetic elders; do not alter B01001 population counts,ACS B11010 Nonfamily Households by Sex of Householder by Living Alone by Age of Householder
74948,Muldrow,192,3,195,342,0,342,534,3,537,0.9846,1.0,0.9944,Calibrate LivesAlone among eligible non-married synthetic elders; do not alter B01001 population counts,ACS B11010 Nonfamily Households by Sex of Householder by Living Alone by Age of Householder
74954,Roland,60,9,69,77,0,77,137,9,146,0.8696,1.0,0.9384,Calibrate LivesAlone among eligible non-married synthetic elders; do not alter B01001 population counts,ACS B11010 Nonfamily Households by Sex of Householder by Living Alone by Age of Householder
74955,Sallisaw,297,27,324,688,28,716,985,55,1040,0.9167,0.9609,0.9471,Calibrate LivesAlone among eligible non-married synthetic elders; do not alter B01001 population counts,ACS B11010 Nonfamily Households by Sex of Householder by Living Alone by Age of Householder
74962,Vian,159,4,163,130,2,132,289,6,295,0.9755,0.9848,0.9797,Calibrate LivesAlone among eligible non-married synthetic elders; do not alter B01001 population counts,ACS B11010 Nonfamily Households by Sex of Householder by Living Alone by Age of Householder
